Classifier,Method,Unigrams,Negation,Class,Recall,Precision
NaiveBayesClassifier,2step,ngram3,negtnFalse,Neu,0.845938375,0.845938375
NaiveBayesClassifier,2step,ngram3,negtnTrue,Neu,0.845938375,0.82739726
NaiveBayesClassifier,2step,ngram3,negtnTrue,Neu,0.845938375,0.82739726
NaiveBayesClassifier,2step,ngram3,negtnTrue,Neu,0.845938375,0.82739726
NaiveBayesClassifier,2step,ngram3,negtnTrue,Neu,0.845938375,0.82739726
NaiveBayesClassifier,2step,ngram3,negtnTrue,Neu,0.845938375,0.82739726
NaiveBayesClassifier,2step,ngram3,negtnTrue,Neu,0.845938375,0.82739726
NaiveBayesClassifier,2step,ngram3,negtnTrue,Neu,0.845938375,0.82739726
NaiveBayesClassifier,2step,ngram3,negtnTrue,Neu,0.845938375,0.82739726
NaiveBayesClassifier,2step,ngram3,negtnTrue,Neu,0.845938375,0.82739726
NaiveBayesClassifier,2step,ngram3,negtnTrue,Neu,0.845938375,0.82739726
MaxentClassifier,1step,ngram1,negtnFalse,Pos,0.575757576,0.700819672
MaxentClassifier,1step,ngram1,negtnFalse,Pos,0.587248322,0.694444444
MaxentClassifier,1step,ngram1,negtnFalse,Pos,0.532915361,0.677290837
MaxentClassifier,1step,ngram1,negtnFalse,Pos,0.591240876,0.698275862
MaxentClassifier,1step,ngram1,negtnFalse,Pos,0.594684385,0.685823755
MaxentClassifier,1step,ngram1,negtnFalse,Pos,0.58,0.721991701
MaxentClassifier,1step,ngram1,negtnFalse,Pos,0.508361204,0.697247706
MaxentClassifier,1step,ngram1,negtnFalse,Pos,0.530944625,0.714912281
MaxentClassifier,1step,ngram1,negtnFalse,Pos,0.574394464,0.741071429
MaxentClassifier,1step,ngram1,negtnFalse,Pos,0.553691275,0.665322581
MaxentClassifier,1step,ngram1,negtnTrue,Pos,0.609427609,0.704280156
MaxentClassifier,1step,ngram1,negtnTrue,Pos,0.630872483,0.688644689
MaxentClassifier,1step,ngram1,negtnTrue,Pos,0.5830721,0.676363636
MaxentClassifier,1step,ngram1,negtnTrue,Pos,0.624087591,0.697959184
